Key,EN,UK,RU
mark_video_timeline_description,"Shows markers on the timeline:<br>- <span class='option yellow'>Yellow:</span> Opening<br>- <span class='option red'>Red:</span> Credits start<br><span class='note'>Uses player data; markers might sometimes be missing.</span>","Показує мітки на таймлайні:<br>- <span class='option yellow'>Жовта:</span> Опенінг<br>- <span class='option red'>Червона:</span> Початок титрів<br><span class='note'>Використовує дані плеєра; мітки можуть бути відсутніми.</span>","Показывает метки на временной шкале:<br>- <span class='option yellow'>Желтая:</span> Опенинг<br>- <span class='option red'>Красная:</span> Начало титров<br><span class='note'>Использует данные плеера; метки могут иногда отсутствовать.</span>"
pseudo_fullscreen_description,"Turns on Pseudo-fullscreen mode.<br>You can still use the player controls.<br>In Chrome, the cursor hides if you don’t move the mouse.<br>A button appears in the player to turn it on or off.<br><span class='tip'>Press 'T' for a quick switch.</span><br><span class='note'>The button stays even when the mode is off. In browser fullscreen (F11), it acts like true fullscreen—only the video player is visible—and works across episodes.</span>","Увімкніть Псевдо-повноекранний режим.<br>Ви можете використовувати елементи керування плеєром.<br>У Chrome курсор ховається, якщо не рухати мишку.<br>У плеєрі з’являється кнопка для вмикання чи вимикання.<br><span class='tip'>Натисніть 'T' для швидкого перемикання.</span><br><span class='note'>Кнопка залишається, навіть коли режим вимкнено. У повноекранному режимі браузера (F11) це як справжній повний екран — видно лише плеєр із відео — і працює для наступних серій.</span>","Включите псевдо-полноэкранный режим.<br>Вы можете управлять плеером.<br>В Chrome курсор исчезает, если не двигать мышью.<br>В плеере появляется кнопка для включения или выключения.<br><span class='tip'>Нажмите 'T' для быстрого переключения.</span><br><span class='note'>Кнопка остаётся, даже если режим выключен. В полноэкранном режиме браузера (F11) выглядит как настоящий полноэкранный — виден только плеер с видео — и работает для следующих серий.</span>"
,,,
title,Jut.su Next-Series,Jut.su Next-Series,Jut.su Next-Series
version,3.0.0,3.0.0,3.0.0
page_description,"This page provides information about all extension features, allowing you to modify them, along with a list of available shortcuts.","Ця сторінка надає інформацію про всі функції розширення з можливістю їх зміни, а також список доступних гарячих клавіш.","Эта страница предоставляет информацию обо всех функциях расширения с возможностью их изменения, а также список доступных горячих клавиш."
settings_title,Settings,Налаштування,Настройки
settings_description,"Here’s a description of how various extension features work.","Ось опис того, як працюють різні функції розширення.","Вот описание того, как работают различные функции расширения."
settings_note,"<span class='note'>All changes are applied immediately.</span>","<span class='note'>Всі зміни застосовуються негайно.</span>","<span class='note'>Все изменения применяются немедленно.</span>"
,,,
shortcuts_title,Shortcuts,Гарячі клавіші,Горячие клавиши
shortcuts_description,"Here are the shortcuts and their functions.","Ось гарячі клавіші та їх функції.","Здесь указаны горячие клавиши и их функции."
shortcut_numbers,Numbers 0-9,Цифри 0-9,Цифры 0-9
shortcut_numbers_desc,"Jump to a percentage of the video.<br><span class='example'>'0' starts from the beginning, '5' jumps to the middle.</span>","Перейти до відсотка відео.<br><span class='example'>'0' — початок, '5' — середина.</span>","Перейти к проценту видео.<br><span class='example'>'0' — начало, '5' — середина.</span>"
shortcut_f,F,F,F
shortcut_f_desc,"Switches to fullscreen mode.<br><span class='benefit'>Quickly changes the viewing size.</span>","Перемикає на повний екран.<br><span class='benefit'>Швидко змінює розмір перегляду.</span>","Переключает на полноэкранный режим.<br><span class='benefit'>Быстро меняет размер просмотра.</span>"
shortcut_m,M,M,M
shortcut_m_desc,"Turns sound on or off.<br><span class='tip'>Mute without pausing.</span>","Вмикає або вимикає звук.<br><span class='tip'>Тиша без паузи.</span>","Включает или выключает звук.<br><span class='tip'>Тишина без паузы.</span>"
shortcut_t,T,T,T
shortcut_t_desc,"Switches Pseudo-fullscreen mode.<br><span class='note'>Works only if 'Pseudo-fullscreen mode' is on.</span>","Перемикає Псевдо-повноекранний режим.<br><span class='note'>Працює, тільки якщо увімкнено 'Псевдо-повноекранний режим'.</span>","Переключает псевдо-полноэкранный режим.<br><span class='note'>Работает, только если включён 'Псевдо-полноэкранный режим'.</span>"
,,,
footer_text,Created by DenisGasilo,Created by DenisGasilo,Created by DenisGasilo
footer_link,Extension page,Extension page,Extension page
,,,
cinema_mode_enabled_title,"Enable cinema mode (T)","Увімкнути режим кіно (T)","Включить режим кино (T)"
cinema_mode_disabled_title,"Disable cinema mode (T)","Вимкнути режим кіно (T)","Выключить режим кино (T)"
